poblacion,sitio,web,juego,tematica,max_jugadores,rango_precio,latitud,longitud,publicar,fecha,jugadores,valoracion,observaciones,foto,Team building,Personas,Pagina
Andorra La Vella,Andorra Quest Room,http://www.andorraquestroom.com/,Misión I: Captura los contrabandistas,,5,,,,si,,,,,,no,,
Andorra La Vella,Andorra Quest Room,http://www.andorraquestroom.com/,"Misión II: Golpe al ""quest bank""",,5,,,,si,,,,,,no,,
Andorra La Vella,Andorra Quest Room,http://www.andorraquestroom.com/,Misión III: escape en el nautilua,,5,,,,si,,,,,,no,,
Andorra (Escaldes-Engordany),Claustrophobia,https://andorra.claustrophobia.com/es/quest/,Una avalancha del olvido,,4,,,,si,,,,,,,,
Andorra (Escaldes-Engordany),Claustrophobia,https://andorra.claustrophobia.com/es/quest/,Cine de la desesperanza,,8,,,,si,,,,,,,,
Arboç,Indicis,http://www.indicis.es/,,,8,,"41,26803800","1,60026600",si,,,,,,no,,
Badalona,Abduction,http://www.abduction.es/,,,6,,"41,44738700","2,24144530",si,2016-10-23,Alcaparrones,"4,25",,abduction,no,,
Badalona,Stoker Room Scape,http://stokerroomscape.cat/es/,Encuentra el manuscrito,,6,,,,si,,,,,,no,,
Barakaldo,Murder and Money,http://murderandmoney.com/,,,5,,"43,29577530","-2,99854950",si,,,,,,no,,
Barberà del Vallès,La visita room scape,https://www.lavisitaroomscape.es/,El caso Lazfer,,7,,"41,51055720","2,11569900",si,,,,,,,,
Barcelona,60' Escape,https://60escape.es/,Los infiltrados,,8,,"41,37576800","2,15560630",si,,,,,,no,,
Barcelona,Atropos,http://www.atroposescape.com/,Aegis,,6,,"41,42184770","2,17655300",,,,,,,,,
Barcelona,Barcelocked,https://barcelocked.com,Barcelocked,,6,,"41,38517300","2,17626530",si,,,,,,no,,
Barcelona,Bizarre,http://www.bizarrebcn.com/,Circus,,,,"41,37240500","2,16803700",si,,,,,,no,,
Barcelona,Bizarre,http://www.bizarrebcn.com/,Toys,,,,"41,37240500","2,16803700",si,,,,,,,,
Barcelona,Cinema Escape,http://www.cinemaescape.es/,Barum Dum,,5,,"41,42975000","2,16477500",si,,,,,,,,
Barcelona,Chicken Banana,http://chickenbanana.com,Mafia,,6,,"41,37585800","2,15582330",si,2015-09-04,Gem / Nadgi,4,,chicken_banana_mafia,no,,
Barcelona,Chicken Banana,http://chickenbanana.com,Psiquiatría,Terror,6,,"41,37585800","2,15582330",si,2015-04-18,Alcaparrones,"3,5",2 salas,chicken_banana_psiquiatria,no,,
Barcelona,Chicken Banana,http://chickenbanana.com,Prisión,,6,,"41,37585800","2,15582330",si,,,,,,,,
Barcelona,Claustrophobia,https://claustrophobia.com/,Los prisioneros de la mazmorra,,4,,"41,39170240","2,17424500",no,,,,,,no,,
Barcelona,Claustrophobia,https://claustrophobia.com/,Los bootlegers,,4,,"41,39170240","2,17424500",no,,,,,,no,,
Barcelona,Claustrophobia,https://claustrophobia.com/,La guarida del capo de la droga,,,,"41,39170240","2,17424500",no,,,,,,no,,
Barcelona,Confined,http://www.confinedbcn.com,Confined,,5,,"41,43194240","2,18778920",si,,,,,,no,,
Barcelona,Conundroom,http://www.conundroom.es/,Mr. Ascott,,,,"41,40249070","2,18011080",si,,,,,,no,,
Barcelona,Cronologic,http://www.cronologic.es,Viajes en el tiempo,,5,,"41,40922650","2,18439260",si,2015-05-03,Gem / Nadgi,4,,,no,,
Barcelona,Cronologic,http://www.cronologic.es,El viaje continua,,5,,"41,41021380","2,18688640",si,,,,,,,,
Barcelona,Doppler Room Escape,https://www.dopplerexperiences.com,Acto 1 - Vientos de Pólvora,,6,,"41,40769760","2,15746550",si,,,,,,no,,
Barcelona,Emotion,http://www.emotionescape.com/,La nube,Para niños de 8-14,7,,"41,40905440","2,16038230",si,,,,,,,,
Barcelona,Encerrado,http://www.encerrado.es,El veneno mortal,,6,,"41,41677080","2,19133800",si,2016-06-12,Nadgi,3,,,no,,
Barcelona,Encerrado,http://www.encerrado.es,Berlín 1983,,,,"41,41677080","2,19133800",si,,,,,,no,,
Barcelona,Encrypt escape room,http://encryptroom.com/,,,6,,"41,37123590","2,14030400",si,2017-09-25,Alcaparrones,4,,,no,,
Barcelona,Enigma Room Escape,http://juegoenigma.es/es/,Enigma,,5,,"41,42524500","2,17605330",si,2016-05-16,Alcaparrones,"4,5",,,no,,
Barcelona,Enigmik,http://www.enigmik.com,The Bunker,,6,,"41,40989610","2,17753130",si,2015-06-24,Bailongos,5,,,no,,
Barcelona,Escápate Barcelona,http://roomescapatebarcelona.com,El silo,,5,,"41,42259100","2,17055810",si,,,,,,no,,
